# Wall shear stress
# Time        	patch         	min           	max           
500           	cylinder	(-3.616124e-03 -4.153406e-03 -3.231778e-03)	(9.564990e-04 3.307532e-03 3.796205e-03)
1000          	cylinder	(-3.445808e-03 -4.120366e-03 -3.744292e-03)	(9.469235e-04 3.159559e-03 4.218250e-03)
1500          	cylinder	(-3.046019e-03 -4.053283e-03 -3.459735e-03)	(8.989931e-04 3.249480e-03 3.611358e-03)
2000          	cylinder	(-3.110241e-03 -4.073933e-03 -3.504449e-03)	(9.178907e-04 3.186306e-03 3.753656e-03)
2500          	cylinder	(-3.053692e-03 -4.047442e-03 -3.426092e-03)	(8.996114e-04 3.264351e-03 3.499269e-03)
3000          	cylinder	(-2.992763e-03 -4.043642e-03 -3.429455e-03)	(8.953497e-04 3.189041e-03 3.539740e-03)
3500          	cylinder	(-3.065303e-03 -4.062919e-03 -3.467396e-03)	(9.103040e-04 3.291698e-03 3.628345e-03)
4000          	cylinder	(-3.064595e-03 -4.072227e-03 -3.499172e-03)	(9.178661e-04 3.289173e-03 3.662617e-03)
4500          	cylinder	(-3.137070e-03 -4.079706e-03 -3.541793e-03)	(9.223997e-04 3.365328e-03 3.758270e-03)
5000          	cylinder	(-3.074788e-03 -4.069196e-03 -3.499250e-03)	(9.140394e-04 3.285015e-03 3.675072e-03)
