# Solver information
# Time        	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	GAMG	1.000000e+00	9.805630e-02	9	true
2             	GAMG	2.745160e-01	1.444110e-02	3	true
3             	GAMG	3.705230e-01	3.482170e-02	3	true
4             	GAMG	3.435350e-01	2.304370e-02	5	true
5             	GAMG	2.686330e-01	1.998340e-02	5	true
6             	GAMG	2.490800e-01	2.323820e-02	4	true
7             	GAMG	3.879690e-01	2.016040e-02	4	true
8             	GAMG	3.320350e-01	2.218920e-02	3	true
9             	GAMG	3.465610e-01	2.855610e-02	3	true
10            	GAMG	3.136080e-01	2.375760e-02	4	true
11            	GAMG	2.628630e-01	1.943880e-02	4	true
12            	GAMG	2.244880e-01	1.915780e-02	3	true
13            	GAMG	2.453570e-01	2.270170e-02	3	true
14            	GAMG	2.679910e-01	1.832500e-02	3	true
15            	GAMG	2.535860e-01	1.866000e-02	3	true
16            	GAMG	2.322590e-01	2.210150e-02	3	true
17            	GAMG	2.652420e-01	2.235690e-02	3	true
18            	GAMG	2.787500e-01	2.248960e-02	3	true
19            	GAMG	2.282050e-01	1.972800e-02	3	true
20            	GAMG	2.253960e-01	1.928410e-02	3	true
21            	GAMG	2.047780e-01	1.449620e-02	3	true
22            	GAMG	1.779900e-01	1.125620e-02	3	true
23            	GAMG	1.578420e-01	9.699300e-03	3	true
24            	GAMG	1.484190e-01	9.456930e-03	3	true
25            	GAMG	1.574040e-01	1.126320e-02	3	true
26            	GAMG	1.765000e-01	1.300200e-02	3	true
27            	GAMG	2.015910e-01	1.418110e-02	3	true
28            	GAMG	2.377380e-01	1.480460e-02	3	true
29            	GAMG	2.160520e-01	2.147520e-02	2	true
30            	GAMG	2.014250e-01	1.983360e-02	2	true
31            	GAMG	1.814060e-01	1.799160e-02	2	true
32            	GAMG	1.770520e-01	9.493380e-03	3	true
33            	GAMG	1.707580e-01	1.591010e-02	2	true
34            	GAMG	1.684230e-01	1.601770e-02	2	true
35            	GAMG	1.702370e-01	8.460550e-03	3	true
36            	GAMG	2.140330e-01	2.048220e-02	2	true
37            	GAMG	1.758640e-01	1.745180e-02	2	true
38            	GAMG	1.518000e-01	1.436080e-02	2	true
39            	GAMG	1.481790e-01	8.038750e-03	3	true
40            	GAMG	1.376020e-01	1.323030e-02	2	true
41            	GAMG	1.333290e-01	1.282630e-02	2	true
42            	GAMG	1.310550e-01	1.301990e-02	2	true
43            	GAMG	1.292440e-01	6.893860e-03	3	true
44            	GAMG	1.263180e-01	1.205400e-02	2	true
45            	GAMG	1.258100e-01	1.209140e-02	2	true
46            	GAMG	1.252910e-01	8.465100e-03	3	true
47            	GAMG	1.650390e-01	1.576740e-02	2	true
48            	GAMG	1.659330e-01	1.105510e-02	3	true
49            	GAMG	1.841710e-01	1.711310e-02	2	true
50            	GAMG	1.832630e-01	1.752000e-02	2	true
51            	GAMG	1.822040e-01	9.471820e-03	3	true
52            	GAMG	1.655380e-01	1.587650e-02	2	true
53            	GAMG	1.648060e-01	1.606210e-02	2	true
54            	GAMG	1.646270e-01	8.330740e-03	3	true
55            	GAMG	1.637720e-01	1.565080e-02	2	true
56            	GAMG	1.653320e-01	1.592940e-02	2	true
57            	GAMG	1.672290e-01	1.624530e-02	2	true
58            	GAMG	1.688980e-01	1.649130e-02	2	true
59            	GAMG	1.703610e-01	1.662780e-02	2	true
60            	GAMG	1.719700e-01	9.661960e-03	3	true
61            	GAMG	1.808130e-01	1.658090e-02	2	true
62            	GAMG	1.744050e-01	1.593840e-02	2	true
63            	GAMG	1.739120e-01	1.644550e-02	2	true
64            	GAMG	1.734210e-01	1.693510e-02	2	true
65            	GAMG	1.728160e-01	8.069800e-03	3	true
66            	GAMG	1.692800e-01	1.618770e-02	2	true
67            	GAMG	1.689080e-01	1.598460e-02	2	true
68            	GAMG	1.681440e-01	1.600410e-02	2	true
69            	GAMG	1.668710e-01	1.618510e-02	2	true
70            	GAMG	1.656530e-01	1.643920e-02	2	true
71            	GAMG	1.650820e-01	8.050820e-03	3	true
72            	GAMG	1.714450e-01	1.632900e-02	2	true
73            	GAMG	1.716000e-01	1.602140e-02	2	true
74            	GAMG	1.712520e-01	1.593000e-02	2	true
75            	GAMG	1.708420e-01	1.615460e-02	2	true
76            	GAMG	1.702930e-01	1.639490e-02	2	true
77            	GAMG	1.701470e-01	1.665250e-02	2	true
78            	GAMG	1.728160e-01	1.707990e-02	2	true
79            	GAMG	1.737850e-01	1.697020e-02	2	true
80            	GAMG	1.614870e-01	1.554960e-02	2	true
81            	GAMG	1.516410e-01	1.428750e-02	2	true
82            	GAMG	1.445100e-01	1.311770e-02	2	true
83            	GAMG	1.428500e-01	1.285090e-02	2	true
84            	GAMG	1.420060e-01	1.280530e-02	2	true
85            	GAMG	1.413010e-01	1.285140e-02	2	true
86            	GAMG	1.405390e-01	1.286690e-02	2	true
87            	GAMG	1.398110e-01	1.284170e-02	2	true
88            	GAMG	1.389850e-01	1.275260e-02	2	true
89            	GAMG	1.381100e-01	1.263910e-02	2	true
90            	GAMG	1.372810e-01	1.259380e-02	2	true
91            	GAMG	1.366360e-01	1.262620e-02	2	true
92            	GAMG	1.361790e-01	1.279890e-02	2	true
93            	GAMG	1.362380e-01	1.286480e-02	2	true
94            	GAMG	1.366040e-01	1.287570e-02	2	true
95            	GAMG	1.366870e-01	1.300360e-02	2	true
96            	GAMG	1.369330e-01	1.314040e-02	2	true
97            	GAMG	1.372030e-01	1.326520e-02	2	true
98            	GAMG	1.373860e-01	1.333990e-02	2	true
99            	GAMG	1.375390e-01	1.335060e-02	2	true
100           	GAMG	1.375890e-01	1.335720e-02	2	true
101           	GAMG	1.379030e-01	1.332410e-02	2	true
102           	GAMG	1.383100e-01	1.339720e-02	2	true
103           	GAMG	1.388080e-01	1.359970e-02	2	true
104           	GAMG	1.394670e-01	1.384540e-02	2	true
105           	GAMG	1.402280e-01	1.396940e-02	2	true
106           	GAMG	1.408460e-01	1.396400e-02	2	true
107           	GAMG	1.414470e-01	1.384420e-02	2	true
108           	GAMG	1.419240e-01	1.369300e-02	2	true
109           	GAMG	1.421080e-01	1.367370e-02	2	true
110           	GAMG	1.421250e-01	1.372970e-02	2	true
111           	GAMG	1.421270e-01	1.374230e-02	2	true
112           	GAMG	1.420390e-01	1.365520e-02	2	true
113           	GAMG	1.417440e-01	1.351180e-02	2	true
114           	GAMG	1.413560e-01	1.332530e-02	2	true
115           	GAMG	1.408960e-01	1.315790e-02	2	true
116           	GAMG	1.403190e-01	1.314940e-02	2	true
117           	GAMG	1.402430e-01	1.301130e-02	2	true
118           	GAMG	1.396630e-01	1.298970e-02	2	true
119           	GAMG	1.391880e-01	1.302600e-02	2	true
120           	GAMG	1.391620e-01	1.284850e-02	2	true
121           	GAMG	1.389460e-01	1.294000e-02	2	true
122           	GAMG	1.390330e-01	1.284390e-02	2	true
123           	GAMG	1.390200e-01	1.290800e-02	2	true
124           	GAMG	1.390330e-01	1.295860e-02	2	true
125           	GAMG	1.390440e-01	1.297230e-02	2	true
126           	GAMG	1.390080e-01	1.321870e-02	2	true
127           	GAMG	1.387720e-01	1.321710e-02	2	true
128           	GAMG	1.384000e-01	1.307170e-02	2	true
129           	GAMG	1.382080e-01	1.308960e-02	2	true
130           	GAMG	1.379010e-01	1.316240e-02	2	true
131           	GAMG	1.372480e-01	1.303010e-02	2	true
132           	GAMG	1.367730e-01	1.300740e-02	2	true
133           	GAMG	1.364500e-01	1.314650e-02	2	true
134           	GAMG	1.361820e-01	6.723410e-03	3	true
135           	GAMG	1.237510e-01	1.165280e-02	2	true
136           	GAMG	1.243220e-01	1.177040e-02	2	true
137           	GAMG	1.253580e-01	1.201010e-02	2	true
138           	GAMG	1.264520e-01	1.224940e-02	2	true
139           	GAMG	1.272420e-01	1.249080e-02	2	true
140           	GAMG	1.276390e-01	1.274140e-02	2	true
141           	GAMG	1.278520e-01	5.735870e-03	3	true
142           	GAMG	1.242440e-01	1.199180e-02	2	true
143           	GAMG	1.247400e-01	1.198430e-02	2	true
144           	GAMG	1.256130e-01	1.210740e-02	2	true
145           	GAMG	1.265680e-01	1.233690e-02	2	true
146           	GAMG	1.272790e-01	1.262230e-02	2	true
147           	GAMG	1.274850e-01	5.533690e-03	3	true
148           	GAMG	1.242850e-01	1.184810e-02	2	true
149           	GAMG	1.248620e-01	1.180930e-02	2	true
150           	GAMG	1.258230e-01	1.190830e-02	2	true
151           	GAMG	1.267430e-01	1.208420e-02	2	true
152           	GAMG	1.274130e-01	1.227000e-02	2	true
153           	GAMG	1.278690e-01	1.239160e-02	2	true
154           	GAMG	1.279770e-01	1.245130e-02	2	true
155           	GAMG	1.276840e-01	1.237090e-02	2	true
156           	GAMG	1.273230e-01	1.221570e-02	2	true
157           	GAMG	1.270780e-01	1.215090e-02	2	true
158           	GAMG	1.268130e-01	1.215930e-02	2	true
159           	GAMG	1.264790e-01	1.208930e-02	2	true
160           	GAMG	1.262210e-01	1.201720e-02	2	true
161           	GAMG	1.259760e-01	1.201470e-02	2	true
162           	GAMG	1.256860e-01	1.196060e-02	2	true
163           	GAMG	1.253390e-01	1.191680e-02	2	true
164           	GAMG	1.247610e-01	1.167030e-02	2	true
165           	GAMG	1.243510e-01	1.155070e-02	2	true
166           	GAMG	1.240670e-01	1.146650e-02	2	true
167           	GAMG	1.238530e-01	1.141290e-02	2	true
168           	GAMG	1.237310e-01	1.146110e-02	2	true
169           	GAMG	1.233920e-01	1.131970e-02	2	true
