# Wall shear stress
# Time        	patch         	min           	max           
500           	cylinder	(-4.894144e-03 -5.449265e-03 -4.497289e-03)	(2.054344e-03 5.012962e-03 7.137339e-03)
1000          	cylinder	(-4.689436e-03 -5.234319e-03 -4.109535e-03)	(1.928485e-03 5.061122e-03 5.930857e-03)
1500          	cylinder	(-4.538986e-03 -5.318913e-03 -4.097989e-03)	(1.986698e-03 4.867760e-03 5.653081e-03)
2000          	cylinder	(-4.365583e-03 -5.299806e-03 -4.087813e-03)	(1.977067e-03 4.589640e-03 5.722688e-03)
2500          	cylinder	(-4.454540e-03 -5.319104e-03 -4.096908e-03)	(1.991158e-03 4.689708e-03 5.739239e-03)
3000          	cylinder	(-4.440374e-03 -5.296323e-03 -4.087701e-03)	(1.973583e-03 4.668899e-03 5.716856e-03)
3500          	cylinder	(-4.403092e-03 -5.311537e-03 -4.079301e-03)	(1.987988e-03 4.632394e-03 5.706011e-03)
4000          	cylinder	(-4.459539e-03 -5.310415e-03 -4.100166e-03)	(1.982099e-03 4.678670e-03 5.736078e-03)
4500          	cylinder	(-4.376838e-03 -5.300949e-03 -4.078831e-03)	(1.979881e-03 4.600835e-03 5.712242e-03)
5000          	cylinder	(-4.439686e-03 -5.317267e-03 -4.093452e-03)	(1.989249e-03 4.665611e-03 5.724028e-03)
5500          	cylinder	(-4.418760e-03 -5.298927e-03 -4.088617e-03)	(1.975928e-03 4.642667e-03 5.721020e-03)
6000          	cylinder	(-4.417719e-03 -5.312906e-03 -4.083715e-03)	(1.988432e-03 4.641108e-03 5.714810e-03)
6500          	cylinder	(-4.503310e-03 -5.304655e-03 -4.093697e-03)	(1.978324e-03 4.730805e-03 5.722452e-03)
7000          	cylinder	(-4.415186e-03 -5.304440e-03 -4.081367e-03)	(1.982959e-03 4.648737e-03 5.710524e-03)
