# Wall shear stress
# Time        	patch         	min           	max           
500           	cylinder	(-5.699994e-03 -4.168779e-03 -4.816670e-03)	(1.366228e-03 2.470807e-03 8.114603e-03)
1000          	cylinder	(-5.662012e-03 -3.965746e-03 -4.800905e-03)	(1.242937e-03 2.432836e-03 8.003850e-03)
1500          	cylinder	(-5.655555e-03 -3.967543e-03 -4.810395e-03)	(1.242964e-03 2.438715e-03 7.991903e-03)
2000          	cylinder	(-5.658181e-03 -3.961626e-03 -4.811577e-03)	(1.239582e-03 2.431778e-03 7.994484e-03)
2500          	cylinder	(-5.658333e-03 -3.959482e-03 -4.815129e-03)	(1.237311e-03 2.421505e-03 7.996075e-03)
3000          	cylinder	(-5.658436e-03 -3.965424e-03 -4.813189e-03)	(1.240699e-03 2.422582e-03 7.997415e-03)
3500          	cylinder	(-5.659357e-03 -3.964314e-03 -4.814229e-03)	(1.240252e-03 2.421174e-03 7.998022e-03)
4000          	cylinder	(-5.659518e-03 -3.963712e-03 -4.814100e-03)	(1.239820e-03 2.438948e-03 7.998781e-03)
4500          	cylinder	(-5.659830e-03 -3.962631e-03 -4.814833e-03)	(1.239041e-03 2.435994e-03 7.998351e-03)
5000          	cylinder	(-5.659624e-03 -3.959612e-03 -4.815736e-03)	(1.236928e-03 2.432388e-03 7.998608e-03)
