# Solver information
# Time        	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	GAMG	1.000000e+00	7.078940e-02	9	true
2             	GAMG	1.718440e-01	9.506430e-03	4	true
3             	GAMG	2.661390e-01	2.350470e-02	4	true
4             	GAMG	2.682240e-01	2.002610e-02	5	true
5             	GAMG	2.873300e-01	2.170970e-02	5	true
6             	GAMG	3.575910e-01	2.376010e-02	5	true
7             	GAMG	2.459640e-01	2.046270e-02	3	true
8             	GAMG	2.044820e-01	1.549230e-02	3	true
9             	GAMG	2.245180e-01	1.591270e-02	4	true
10            	GAMG	2.291800e-01	2.221120e-02	4	true
11            	GAMG	2.154410e-01	2.069750e-02	4	true
12            	GAMG	2.223100e-01	1.906710e-02	4	true
13            	GAMG	2.453880e-01	1.589410e-02	4	true
14            	GAMG	3.485040e-01	3.251090e-02	3	true
15            	GAMG	2.629310e-01	2.529800e-02	3	true
16            	GAMG	2.479700e-01	1.965940e-02	4	true
17            	GAMG	1.769820e-01	1.162880e-02	4	true
18            	GAMG	1.510980e-01	9.581550e-03	4	true
19            	GAMG	1.296880e-01	1.096190e-02	3	true
20            	GAMG	1.180490e-01	8.570000e-03	3	true
21            	GAMG	1.121020e-01	9.099140e-03	3	true
22            	GAMG	1.072110e-01	6.351730e-03	4	true
23            	GAMG	1.215210e-01	7.584250e-03	4	true
24            	GAMG	1.432910e-01	1.223840e-02	3	true
25            	GAMG	1.412860e-01	1.166190e-02	3	true
26            	GAMG	1.391910e-01	9.759580e-03	3	true
27            	GAMG	1.370850e-01	9.252820e-03	3	true
28            	GAMG	1.347240e-01	9.065370e-03	3	true
29            	GAMG	1.291260e-01	1.099840e-02	3	true
30            	GAMG	1.042440e-01	9.011360e-03	3	true
31            	GAMG	8.556610e-02	7.198700e-03	3	true
32            	GAMG	7.361170e-02	4.811510e-03	3	true
33            	GAMG	6.948170e-02	4.047730e-03	3	true
34            	GAMG	6.630910e-02	6.522850e-03	2	true
35            	GAMG	6.429780e-02	4.123350e-03	3	true
36            	GAMG	6.234480e-02	6.206720e-03	2	true
37            	GAMG	6.079360e-02	4.214780e-03	3	true
38            	GAMG	6.486680e-02	4.563550e-03	3	true
39            	GAMG	7.118860e-02	6.846100e-03	2	true
40            	GAMG	7.559420e-02	7.282010e-03	2	true
41            	GAMG	7.873170e-02	6.311670e-03	3	true
42            	GAMG	9.238990e-02	8.938280e-03	2	true
43            	GAMG	9.138380e-02	9.121610e-03	2	true
44            	GAMG	9.025890e-02	5.153160e-03	3	true
45            	GAMG	8.781150e-02	8.523680e-03	2	true
46            	GAMG	8.697010e-02	8.462750e-03	2	true
47            	GAMG	8.658760e-02	8.457510e-03	2	true
48            	GAMG	8.503920e-02	5.446780e-03	3	true
49            	GAMG	7.772480e-02	7.370680e-03	2	true
50            	GAMG	7.688810e-02	7.484320e-03	2	true
51            	GAMG	7.611250e-02	4.178160e-03	3	true
52            	GAMG	7.401180e-02	7.216780e-03	2	true
53            	GAMG	7.342750e-02	7.329310e-03	2	true
54            	GAMG	7.298190e-02	4.078900e-03	3	true
55            	GAMG	7.160390e-02	7.019730e-03	2	true
56            	GAMG	7.138910e-02	7.119790e-03	2	true
57            	GAMG	7.130690e-02	4.374680e-03	3	true
58            	GAMG	7.268580e-02	7.197150e-03	2	true
59            	GAMG	7.283120e-02	4.761110e-03	3	true
60            	GAMG	7.607450e-02	7.530680e-03	2	true
61            	GAMG	7.682680e-02	4.485630e-03	3	true
62            	GAMG	7.738330e-02	7.650710e-03	2	true
63            	GAMG	7.837880e-02	4.920610e-03	3	true
64            	GAMG	8.303710e-02	8.208680e-03	2	true
65            	GAMG	8.468260e-02	4.419890e-03	3	true
66            	GAMG	8.584270e-02	8.478800e-03	2	true
67            	GAMG	8.762340e-02	4.462580e-03	3	true
68            	GAMG	8.853000e-02	8.754560e-03	2	true
69            	GAMG	9.001720e-02	4.517280e-03	3	true
70            	GAMG	9.053900e-02	8.925230e-03	2	true
71            	GAMG	9.184300e-02	4.621620e-03	3	true
72            	GAMG	9.207940e-02	9.110590e-03	2	true
73            	GAMG	9.305600e-02	4.718450e-03	3	true
74            	GAMG	9.278790e-02	9.250840e-03	2	true
75            	GAMG	9.365500e-02	4.725710e-03	3	true
76            	GAMG	9.319860e-02	4.552820e-03	3	true
77            	GAMG	9.283190e-02	9.128170e-03	2	true
78            	GAMG	9.386430e-02	4.477160e-03	3	true
79            	GAMG	9.347500e-02	9.263770e-03	2	true
80            	GAMG	9.439640e-02	4.531910e-03	3	true
81            	GAMG	9.247170e-02	9.241810e-03	2	true
82            	GAMG	9.290950e-02	4.546710e-03	3	true
83            	GAMG	9.042940e-02	4.339460e-03	3	true
84            	GAMG	8.824130e-02	8.605310e-03	2	true
85            	GAMG	8.871160e-02	4.161120e-03	3	true
86            	GAMG	8.774810e-02	8.622900e-03	2	true
87            	GAMG	8.814220e-02	4.156110e-03	3	true
88            	GAMG	8.684880e-02	8.600520e-03	2	true
89            	GAMG	8.689670e-02	4.087270e-03	3	true
90            	GAMG	8.541380e-02	8.471470e-03	2	true
91            	GAMG	8.537790e-02	3.990610e-03	3	true
92            	GAMG	8.393360e-02	8.331020e-03	2	true
